3:18:07 PM  [main] 	Initializing Control Panel
3:18:07 PM  [main] 	Windows Version:  Pro  64-bit
3:18:07 PM  [main] 	XAMPP Version: 7.1.7
3:18:07 PM  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
3:18:07 PM  [main] 	You are not running with administrator rights! This will work for
3:18:07 PM  [main] 	most application stuff but whenever you do something with services
3:18:07 PM  [main] 	there will be a security dialogue or things will break! So think 
3:18:07 PM  [main] 	about running this application with administrator rights!
3:18:07 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
3:18:07 PM  [main] 	Checking for prerequisites
3:18:08 PM  [main] 	All prerequisites found
3:18:08 PM  [main] 	Initializing Modules
3:18:08 PM  [main] 	Starting Check-Timer
3:18:08 PM  [main] 	Control Panel Ready
8:36:56 PM  [main] 	Deinitializing Modules
8:36:56 PM  [main] 	Deinitializing Control Panel

